"sogg_id";"n"
"1";16
"2";2
"3";4
"4";6
"5";1
"6";81
"7";25
"8";4
"9";2
"10";5
"11";6
"12";7
"13";27
"14";5
"15";1
"16";17
"17";22
"18";3
"19";4
"20";3
"21";6
"22";8
"23";7
"24";18
"25";6
"26";3
"27";3
"28";1
"29";6
"30";4
"31";2
"32";10
"33";12
"34";11
"35";3
"36";6
"37";1
"38";2
"39";6
"40";1
"41";5
"42";1
"43";2
"44";10
"45";8
"46";9
"47";2
"48";18
"49";36
"50";12
"51";3
"52";1
"53";5
"54";3
"55";2
"56";1
"57";3
"58";1
"59";2
"60";2
"61";3
"62";8
"63";5
"64";1
"65";7
"66";6
"67";1
"68";3
"69";8
"70";4
"71";2
"72";14
"73";3
"74";7
"75";2
"76";2
"77";12
"78";2
"79";4
"80";3
"81";25
"82";2
"83";7
"84";7
"85";29
"86";3
"87";5
"88";3
"89";1
"90";2
"91";3
"92";2
"93";3
"94";2
"95";11
"96";4
"97";2
"98";10
"99";14
"100";5
"101";6
"102";4
"103";5
"104";9
"105";3
"106";3
"107";4
"108";10
"109";4
"110";1
"111";2
"112";10
"113";6
"114";2
"115";7
"116";1
"117";10
"118";6
"119";14
"120";3
"121";16
"122";4
"123";3
"124";14
"125";4
"126";2
"127";4
"128";7
"129";2
"130";3
"131";5
"132";1
"133";1
"134";7
"135";3
"136";2
"137";29
"138";8
"139";10
"140";3
"141";1
"142";4
"143";3
"144";3
"145";6
"146";9
"147";1
"148";3
"149";5
"150";4
"151";4
"152";13
"153";15
"154";2
"155";4
"156";2
"157";3
"158";6
"159";15
"160";16
"161";8
"162";6
"163";13
"164";5
"165";3
"166";3
"167";4
"168";5
"169";2
"170";17
"171";3
"172";9
"173";23
"174";3
"175";5
"176";9
"177";4
"178";4
"179";5
"180";10
"181";42
"182";12
"183";2
"184";3
"185";3
"186";10
"187";6
"188";4
"189";8
"190";4
"191";3
"192";5
"193";23
"194";3
"195";19
"196";8
"197";10
"198";2
"199";4
"200";9
"201";2
"202";9
"203";2
"204";8
"205";2
"206";1
"207";2
"208";11
"209";22
"210";13
"211";22
"212";5
"213";8
"214";16
"215";6
"216";2
"217";14
"218";3
"219";45
"220";3
"221";3
"222";2
"223";3
"224";12
"225";5
"226";3
"227";15
"228";15
"229";2
"230";3
"231";9
"232";2
"233";6
"234";1
"235";5
"236";3
"237";3
"238";14
"239";32
"240";3
"241";3
"242";2
"243";3
"244";11
"245";3
"246";12
"247";1
"248";5
"249";4
"250";3
"251";48
"252";2
"253";5
"254";12
"255";2
"256";19
"257";8
"258";41
"259";3
"260";16
"261";5
"262";4
"263";6
"264";12
"265";13
"266";3
"267";3
"268";6
"269";32
"270";5
"271";5
"272";4
"273";3
"274";4
"275";9
"276";5
"277";7
"278";9
"279";2
"280";2
"281";6
"282";2
"283";3
"284";4
"285";3
"286";18
"287";1
"288";14
"289";5
"290";3
"291";3
"292";10
"293";2
"294";2
"295";51
"296";5
"297";3
"298";7
