"id_net";"sector"
"1";"INDUSTRIA/ARTIGIANATO"
"2";"COMMERCIO"
"3";"INDUSTRIA/ARTIGIANATO"
"4";"SERVIZI"
"5";"INDUSTRIA/ARTIGIANATO"
"6";"SERVIZI"
"7";"INDUSTRIA/ARTIGIANATO"
"8";"INDUSTRIA/ARTIGIANATO"
"9";"INDUSTRIA/ARTIGIANATO"
"10";"INDUSTRIA/ARTIGIANATO"
"11";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"12";"INDUSTRIA/ARTIGIANATO"
"13";"INDUSTRIA/ARTIGIANATO"
"14";"INDUSTRIA/ARTIGIANATO"
"15";"INDUSTRIA/ARTIGIANATO"
"16";"SERVIZI"
"17";"AGRICOLTURA/PESCA"
"18";"INDUSTRIA/ARTIGIANATO"
"19";"INDUSTRIA/ARTIGIANATO"
"20";"SERVIZI"
"21";"ALTRO SETTORE-SERVIZI"
"22";"INDUSTRIA/ARTIGIANATO"
"23";"SERVIZI"
"24";"ALTRO SETTORE-COMMERCIO-INDUSTRIA/ARTIGIANATO"
"25";"INDUSTRIA/ARTIGIANATO"
"26";"SERVIZI"
"27";"INDUSTRIA/ARTIGIANATO"
"28";"SERVIZI"
"29";"ALTRO SETTORE-INDUSTRIA/ARTIGIANATO"
"31";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"32";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"33";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"34";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"35";"AGRICOLTURA/PESCA"
"36";"INDUSTRIA/ARTIGIANATO"
"38";"INDUSTRIA/ARTIGIANATO"
"39";"INDUSTRIA/ARTIGIANATO"
"40";"SERVIZI"
"41";"SERVIZI"
"43";"SERVIZI"
"44";"COMMERCIO"
"45";"SERVIZI"
"46";"INDUSTRIA/ARTIGIANATO"
"47";"AGRICOLTURA/PESCA"
"48";"INDUSTRIA/ARTIGIANATO"
"49";"INDUSTRIA/ARTIGIANATO"
"50";"SERVIZI"
"51";"INDUSTRIA/ARTIGIANATO"
"52";"SERVIZI"
"53";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"54";"SERVIZI"
"55";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"56";"COMMERCIO-SERVIZI"
"57";"SERVIZI"
"58";"SERVIZI"
"59";"INDUSTRIA/ARTIGIANATO"
"60";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"61";"INDUSTRIA/ARTIGIANATO"
"62";"INDUSTRIA/ARTIGIANATO"
"63";"AGRICOLTURA/PESCA"
"64";"AGRICOLTURA/PESCA"
"65";"AGRICOLTURA/PESCA"
"66";"INDUSTRIA/ARTIGIANATO"
"67";"COMMERCIO"
"68";"INDUSTRIA/ARTIGIANATO"
"69";"INDUSTRIA/ARTIGIANATO"
"70";"INDUSTRIA/ARTIGIANATO"
"71";"SERVIZI"
"72";"SERVIZI"
"73";"INDUSTRIA/ARTIGIANATO"
"74";"SERVIZI"
"75";"SERVIZI"
"76";"INDUSTRIA/ARTIGIANATO"
"77";"SERVIZI"
"78";"INDUSTRIA/ARTIGIANATO"
"79";"SERVIZI"
"80";"SERVIZI"
"81";"INDUSTRIA/ARTIGIANATO"
"82";"INDUSTRIA/ARTIGIANATO"
"83";"AGRICOLTURA/PESCA"
"84";"INDUSTRIA/ARTIGIANATO"
"85";"INDUSTRIA/ARTIGIANATO"
"86";"INDUSTRIA/ARTIGIANATO"
"87";"INDUSTRIA/ARTIGIANATO"
"88";"AGRICOLTURA/PESCA"
"89";"INDUSTRIA/ARTIGIANATO"
"90";"INDUSTRIA/ARTIGIANATO"
"91";"SERVIZI"
"92";"SERVIZI"
"93";"INDUSTRIA/ARTIGIANATO"
"94";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"95";"INDUSTRIA/ARTIGIANATO"
"96";"INDUSTRIA/ARTIGIANATO"
"97";"INDUSTRIA/ARTIGIANATO"
"98";"COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"99";"INDUSTRIA/ARTIGIANATO"
"100";"INDUSTRIA/ARTIGIANATO"
"101";"SERVIZI"
"102";"INDUSTRIA/ARTIGIANATO"
"103";"COMMERCIO-SERVIZI"
"104";"INDUSTRIA/ARTIGIANATO"
"105";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"106";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"107";"SERVIZI"
"108";"SERVIZI"
"109";"INDUSTRIA/ARTIGIANATO"
"110";"AGRICOLTURA/PESCA"
"111";"INDUSTRIA/ARTIGIANATO"
"113";"SERVIZI"
"114";"SERVIZI"
"115";"INDUSTRIA/ARTIGIANATO"
"116";"INDUSTRIA/ARTIGIANATO"
"117";"SERVIZI"
"119";"SERVIZI"
"120";"INDUSTRIA/ARTIGIANATO"
"121";"SERVIZI"
"122";"SERVIZI"
"123";"SERVIZI"
"124";"INDUSTRIA/ARTIGIANATO"
"125";"AGRICOLTURA/PESCA"
"126";"COMMERCIO"
"127";"INDUSTRIA/ARTIGIANATO"
"128";"INDUSTRIA/ARTIGIANATO"
"131";"SERVIZI"
"132";"SERVIZI"
"134";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"135";"INDUSTRIA/ARTIGIANATO"
"136";"SERVIZI"
"137";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"138";"INDUSTRIA/ARTIGIANATO"
"139";"SERVIZI"
"140";"COMMERCIO"
"141";"AGRICOLTURA/PESCA"
"142";"SERVIZI"
"143";"SERVIZI"
"144";"INDUSTRIA/ARTIGIANATO"
"145";"INDUSTRIA/ARTIGIANATO"
"146";"AGRICOLTURA/PESCA-SERVIZI"
"147";"SERVIZI"
