"id_net";"sector";"sec_var";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi"
1;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
2;"COMMERCIO";3;0;0;1;0;0;0;0
3;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
4;"SERVIZI";5;0;0;0;0;1;0;0
5;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
6;"SERVIZI";5;0;0;0;0;1;0;0
7;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
8;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
9;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
10;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
11;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
12;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
13;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
14;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
15;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
16;"SERVIZI";5;0;0;0;0;1;0;0
17;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
18;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
19;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
20;"SERVIZI";5;0;0;0;0;1;0;0
21;"ALTRO SETTORE-SERVIZI";7;0;0;0;0;0;0;1
22;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
23;"SERVIZI";5;0;0;0;0;1;0;0
24;"ALTRO SETTORE-COMMERCIO-INDUSTRIA/ARTIGIANATO";7;0;0;0;0;0;0;1
25;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
26;"SERVIZI";5;0;0;0;0;1;0;0
27;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
28;"SERVIZI";5;0;0;0;0;1;0;0
29;"ALTRO SETTORE-INDUSTRIA/ARTIGIANATO";7;0;0;0;0;0;0;1
31;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
32;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
33;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
34;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
35;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
36;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
38;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
39;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
40;"SERVIZI";5;0;0;0;0;1;0;0
41;"SERVIZI";5;0;0;0;0;1;0;0
43;"SERVIZI";5;0;0;0;0;1;0;0
44;"COMMERCIO";3;0;0;1;0;0;0;0
45;"SERVIZI";5;0;0;0;0;1;0;0
46;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
47;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
48;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
49;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
50;"SERVIZI";5;0;0;0;0;1;0;0
51;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
52;"SERVIZI";5;0;0;0;0;1;0;0
53;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
54;"SERVIZI";5;0;0;0;0;1;0;0
55;"COMMERCIO-INDUSTRIA/ARTIGIANATO";7;0;0;0;0;0;0;1
56;"COMMERCIO-SERVIZI";7;0;0;0;0;0;0;1
57;"SERVIZI";5;0;0;0;0;1;0;0
58;"SERVIZI";5;0;0;0;0;1;0;0
59;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
60;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
61;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
62;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
63;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
64;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
65;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
66;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
67;"COMMERCIO";3;0;0;1;0;0;0;0
68;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
69;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
70;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
71;"SERVIZI";5;0;0;0;0;1;0;0
72;"SERVIZI";5;0;0;0;0;1;0;0
73;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
74;"SERVIZI";5;0;0;0;0;1;0;0
75;"SERVIZI";5;0;0;0;0;1;0;0
76;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
77;"SERVIZI";5;0;0;0;0;1;0;0
78;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
79;"SERVIZI";5;0;0;0;0;1;0;0
80;"SERVIZI";5;0;0;0;0;1;0;0
81;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
82;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
83;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
84;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
85;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
86;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
87;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
88;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
89;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
90;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
91;"SERVIZI";5;0;0;0;0;1;0;0
92;"SERVIZI";5;0;0;0;0;1;0;0
93;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
94;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
95;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
96;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
97;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
98;"COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
99;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
100;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
101;"SERVIZI";5;0;0;0;0;1;0;0
102;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
103;"COMMERCIO-SERVIZI";7;0;0;0;0;0;0;1
104;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
105;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
106;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
107;"SERVIZI";5;0;0;0;0;1;0;0
108;"SERVIZI";5;0;0;0;0;1;0;0
109;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
110;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
111;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
113;"SERVIZI";5;0;0;0;0;1;0;0
114;"SERVIZI";5;0;0;0;0;1;0;0
115;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
116;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
117;"SERVIZI";5;0;0;0;0;1;0;0
119;"SERVIZI";5;0;0;0;0;1;0;0
120;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
121;"SERVIZI";5;0;0;0;0;1;0;0
122;"SERVIZI";5;0;0;0;0;1;0;0
123;"SERVIZI";5;0;0;0;0;1;0;0
124;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
125;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
126;"COMMERCIO";3;0;0;1;0;0;0;0
127;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
128;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
131;"SERVIZI";5;0;0;0;0;1;0;0
132;"SERVIZI";5;0;0;0;0;1;0;0
134;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
135;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
136;"SERVIZI";5;0;0;0;0;1;0;0
137;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
138;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
139;"SERVIZI";5;0;0;0;0;1;0;0
140;"COMMERCIO";3;0;0;1;0;0;0;0
141;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
142;"SERVIZI";5;0;0;0;0;1;0;0
143;"SERVIZI";5;0;0;0;0;1;0;0
144;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
145;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
146;"AGRICOLTURA/PESCA-SERVIZI";7;0;0;0;0;0;0;1
147;"SERVIZI";5;0;0;0;0;1;0;0
149;"ALTRO SETTORE-INDUSTRIA/ARTIGIANATO";7;0;0;0;0;0;0;1
150;"SERVIZI";5;0;0;0;0;1;0;0
151;"SERVIZI";5;0;0;0;0;1;0;0
152;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
153;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
154;"SERVIZI";5;0;0;0;0;1;0;0
155;"SERVIZI";5;0;0;0;0;1;0;0
156;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
157;"SERVIZI";5;0;0;0;0;1;0;0
158;"AGRICOLTURA/PESCA-ALTRO SETTORE-COMMERCIO-TURISMO";7;0;0;0;0;0;0;1
159;"SERVIZI";5;0;0;0;0;1;0;0
160;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
161;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
163;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
169;"SERVIZI";5;0;0;0;0;1;0;0
170;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
171;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
172;"SERVIZI";5;0;0;0;0;1;0;0
173;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
174;"ALTRO SETTORE-SERVIZI";7;0;0;0;0;0;0;1
176;"SERVIZI";5;0;0;0;0;1;0;0
177;"SERVIZI";5;0;0;0;0;1;0;0
180;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
182;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
183;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
186;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
187;"SERVIZI";5;0;0;0;0;1;0;0
188;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
190;"SERVIZI";5;0;0;0;0;1;0;0
191;"SERVIZI";5;0;0;0;0;1;0;0
192;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
194;"SERVIZI";5;0;0;0;0;1;0;0
195;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
196;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
198;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
199;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
200;"SERVIZI";5;0;0;0;0;1;0;0
201;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
202;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
203;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
204;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
205;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
206;"SERVIZI";5;0;0;0;0;1;0;0
207;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
210;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
212;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
215;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
216;"SERVIZI";5;0;0;0;0;1;0;0
217;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
220;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
221;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
222;"SERVIZI";5;0;0;0;0;1;0;0
223;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
224;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
226;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
228;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
229;"SERVIZI";5;0;0;0;0;1;0;0
230;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
232;"SERVIZI";5;0;0;0;0;1;0;0
233;"SERVIZI";5;0;0;0;0;1;0;0
234;"SERVIZI";5;0;0;0;0;1;0;0
238;"SERVIZI";5;0;0;0;0;1;0;0
240;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
243;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
244;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
245;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
246;"AGRICOLTURA/PESCA";1;1;0;0;0;0;0;0
247;"ALTRO SETTORE-COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
248;"SERVIZI";5;0;0;0;0;1;0;0
249;"SERVIZI";5;0;0;0;0;1;0;0
250;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
251;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
253;"SERVIZI";5;0;0;0;0;1;0;0
254;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
255;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
256;"COMMERCIO-INDUSTRIA/ARTIGIANATO";7;0;0;0;0;0;0;1
259;"COMMERCIO-SERVIZI-TURISMO";7;0;0;0;0;0;0;1
260;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
261;"SERVIZI";5;0;0;0;0;1;0;0
262;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
263;"ALTRO SETTORE";2;0;1;0;0;0;0;0
264;"COMMERCIO-INDUSTRIA/ARTIGIANATO";7;0;0;0;0;0;0;1
266;"COMMERCIO";3;0;0;1;0;0;0;0
267;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
268;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
269;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
270;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
271;"SERVIZI";5;0;0;0;0;1;0;0
272;"SERVIZI";5;0;0;0;0;1;0;0
273;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
274;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
275;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
276;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
277;"COMMERCIO";3;0;0;1;0;0;0;0
278;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
279;"SERVIZI";5;0;0;0;0;1;0;0
281;"SERVIZI";5;0;0;0;0;1;0;0
282;"SERVIZI";5;0;0;0;0;1;0;0
283;"SERVIZI";5;0;0;0;0;1;0;0
284;"COMMERCIO";3;0;0;1;0;0;0;0
285;"INDUSTRIA/ARTIGIANATO-SERVIZI";7;0;0;0;0;0;0;1
286;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
289;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
290;"SERVIZI";5;0;0;0;0;1;0;0
291;"SERVIZI";5;0;0;0;0;1;0;0
292;"SERVIZI";5;0;0;0;0;1;0;0
295;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
297;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
298;"SERVIZI";5;0;0;0;0;1;0;0
299;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
301;"SERVIZI";5;0;0;0;0;1;0;0
302;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
303;"COMMERCIO";3;0;0;1;0;0;0;0
304;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
305;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
307;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
308;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
309;"COMMERCIO-SERVIZI";7;0;0;0;0;0;0;1
310;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
311;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
312;"SERVIZI";5;0;0;0;0;1;0;0
313;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
315;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
316;"SERVIZI";5;0;0;0;0;1;0;0
317;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
318;"SERVIZI";5;0;0;0;0;1;0;0
319;"COMMERCIO-SERVIZI";7;0;0;0;0;0;0;1
320;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
322;"SERVIZI";5;0;0;0;0;1;0;0
323;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
324;"SERVIZI";5;0;0;0;0;1;0;0
325;"SERVIZI";5;0;0;0;0;1;0;0
327;"SERVIZI";5;0;0;0;0;1;0;0
328;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
329;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
330;"SERVIZI";5;0;0;0;0;1;0;0
331;"SERVIZI";5;0;0;0;0;1;0;0
333;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
335;"SERVIZI";5;0;0;0;0;1;0;0
336;"SERVIZI";5;0;0;0;0;1;0;0
337;"SERVIZI";5;0;0;0;0;1;0;0
338;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
339;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
340;"INDUSTRIA/ARTIGIANATO";4;0;0;0;1;0;0;0
