"id_net";"sector";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi";"sett_code"
1;"6";0;0;0;0;0;1;0;6
2;"4";0;0;0;1;0;0;0;4
3;"4";0;0;0;1;0;0;0;4
4;"4";0;0;0;1;0;0;0;4
5;"0";0;0;0;0;0;0;0;0
6;"5";0;0;0;0;1;0;0;5
7;"4";0;0;0;1;0;0;0;4
8;"4";0;0;0;1;0;0;0;4
9;"5";0;0;0;0;1;0;0;5
10;"4";0;0;0;1;0;0;0;4
11;"5";0;0;0;0;1;0;0;5
12;"4";0;0;0;1;0;0;0;4
13;"6";0;0;0;0;0;1;0;6
14;"4--5";0;0;0;0;0;0;1;7
15;"0";0;0;0;0;0;0;0;0
16;"3";0;0;1;0;0;0;0;3
17;"5";0;0;0;0;1;0;0;5
18;"5";0;0;0;0;1;0;0;5
19;"5";0;0;0;0;1;0;0;5
20;"4";0;0;0;1;0;0;0;4
21;"4";0;0;0;1;0;0;0;4
22;"5";0;0;0;0;1;0;0;5
23;"1";1;0;0;0;0;0;0;1
24;"5";0;0;0;0;1;0;0;5
25;"5";0;0;0;0;1;0;0;5
26;"4";0;0;0;1;0;0;0;4
27;"1";1;0;0;0;0;0;0;1
28;"0";0;0;0;0;0;0;0;0
29;"4";0;0;0;1;0;0;0;4
30;"4";0;0;0;1;0;0;0;4
31;"4--5";0;0;0;0;0;0;1;7
32;"5";0;0;0;0;1;0;0;5
33;"4";0;0;0;1;0;0;0;4
34;"5";0;0;0;0;1;0;0;5
35;"3";0;0;1;0;0;0;0;3
36;"4";0;0;0;1;0;0;0;4
37;"0";0;0;0;0;0;0;0;0
38;"4--5";0;0;0;0;0;0;1;7
39;"4";0;0;0;1;0;0;0;4
40;"5";0;0;0;0;1;0;0;5
41;"5";0;0;0;0;1;0;0;5
42;"0";0;0;0;0;0;0;0;0
43;"5";0;0;0;0;1;0;0;5
44;"5";0;0;0;0;1;0;0;5
45;"5";0;0;0;0;1;0;0;5
46;"4";0;0;0;1;0;0;0;4
47;"4--5";0;0;0;0;0;0;1;7
48;"5";0;0;0;0;1;0;0;5
49;"1";1;0;0;0;0;0;0;1
50;"3";0;0;1;0;0;0;0;3
51;"4";0;0;0;1;0;0;0;4
52;"0";0;0;0;0;0;0;0;0
53;"4";0;0;0;1;0;0;0;4
54;"0";0;0;0;0;0;0;0;0
55;"5";0;0;0;0;1;0;0;5
56;"5";0;0;0;0;1;0;0;5
57;"5";0;0;0;0;1;0;0;5
58;"5";0;0;0;0;1;0;0;5
