"id_net";"reg_code"
"1";"08"
"2";"08"
"3";"06"
"4";"13"
"5";"15"
"6";"09"
"7";"19"
"8";"01--03--18"
"9";"15"
"10";"03--17"
"11";"19"
"12";"08"
"13";"13"
"14";"15"
"15";"19"
"16";"03"
"17";"17"
"18";"03"
"19";"08--13"
"20";"11"
"21";"16"
"22";"08"
"23";"11"
"24";"15"
"25";"05"
"26";"11"
"27";"08"
"28";"15"
"29";"18"
"31";"08"
"32";"17"
"33";"15"
"34";"12--13"
"35";"20"
"36";"12"
"38";"09"
"39";"18"
"40";"09"
"41";"05"
"43";"03"
"44";"09"
"45";"14"
"46";"08"
"47";"20"
"48";"05"
"49";"09"
"50";"16"
"51";"05"
"52";"05"
"53";"19"
"54";"09"
"55";"20"
"56";"05--09"
"57";"12--16"
"58";"16"
"59";"08"
"60";"01"
"61";"12"
"62";"13"
"63";"20"
"64";"20"
"65";"20"
"66";"10--11"
"67";"01"
"68";"05"
"69";"08"
"70";"03"
"71";"09"
"72";"11--12--13"
"73";"08"
"74";"16"
"75";"12"
"76";"08"
"77";"04"
"78";"03"
"79";"03"
"80";"15"
"81";"09"
"82";"03"
"83";"20"
"84";"16"
"85";"12"
"86";"05"
"87";"18"
"88";"09"
"89";"18"
"90";"09"
"91";"12--16"
"92";"12"
"93";"03"
"94";"17"
"95";"06"
"96";"17"
"97";"05--06--12"
"98";"01"
"99";"08"
"100";"09--13"
"101";"08"
"102";"11"
"103";"11"
"104";"03"
"105";"03"
"106";"03"
"107";"09"
"108";"13"
"109";"01"
"110";"05"
"111";"09--11"
"113";"03"
"114";"03"
"115";"03"
"116";"12"
"117";"16"
"119";"12"
"120";"09"
"121";"07--09--11--12"
"122";"05"
"123";"12"
"124";"03"
"125";"20"
"126";"12"
"127";"09"
"128";"01"
"131";"06"
"132";"12"
"134";"16"
"135";"11--12"
"136";"01"
"137";"12"
"138";"10"
"139";"17"
"140";"15"
"141";"09"
"142";"08"
"143";"05"
"144";"12"
"145";"10"
"146";"17"
"147";"16"
"149";"12--15"
"150";"01--11--12--15"
"151";"01--09"
"152";"09"
"153";"16"
"154";"03"
"155";"03"
"156";"11"
"157";"03"
"158";"19"
"159";"05"
"160";"08"
"161";"09"
"163";"11"
"169";"16"
"170";"11"
"171";"01"
"172";"05"
"173";"16"
"174";"13"
"176";"16"
"177";"11"
"180";"05"
"182";"10"
"183";"05"
"186";"10"
"187";"08"
"188";"01"
"190";"05--06"
"191";"05"
"192";"09"
"194";"15"
"195";"20"
"196";"15"
"198";"16"
"199";"15"
"200";"08"
"201";"09"
"202";"05"
"203";"10"
"204";"20"
"205";"03"
"206";"09"
"207";"10"
"210";"05"
"212";"03"
"215";"08"
"216";"08"
"217";"09"
"220";"09"
"221";"11"
"222";"08"
"223";"16"
"224";"11"
"226";"08"
"228";"03"
"229";"03"
"230";"08"
"232";"03"
"233";"17"
"234";"15"
"238";"09"
"240";"03"
"243";"13"
"244";"03"
"245";"08"
"246";"03"
"247";"08"
"248";"08"
"249";"09"
"250";"08"
"251";"03"
"253";"09"
"254";"03"
"255";"03"
"256";"03"
"259";"15"
"260";"08"
"261";"05"
"262";"09"
"263";"15"
"264";"03"
"266";"08"
"267";"03"
"268";"08"
"269";"15"
"270";"03"
"271";"05"
"272";"03"
"273";"08"
"274";"03"
"275";"09"
"276";"08"
"277";"03"
"278";"08"
"279";"08"
"281";"08"
"282";"09"
"283";"08"
"284";"12"
"285";"09"
"286";"09"
"289";"05"
"290";"08"
"291";"12"
"292";"03"
"295";"09"
"297";"03"
"298";"08"
"299";"08"
"301";"03"
"302";"08"
"303";"01"
"304";"08"
"305";"03"
"307";"05"
"308";"08"
"309";"01"
"310";"08"
"311";"08"
"312";"08"
"313";"01"
"315";"08"
"316";"08"
"317";"03"
"318";"08"
"319";"08"
"320";"08"
"322";"07--12--15"
"323";"08"
"324";"12"
"325";"08"
"327";"12"
"328";"08"
"329";"05"
"330";"08"
"331";"08"
"333";"03"
"335";"08"
"336";"08"
"337";"09"
"338";"08"
"339";"08"
"340";"08"
"342";"08"
"344";"08"
"345";"03"
"348";"03"
"349";"08"
"351";"11"
"353";"15--19"
"355";"08"
"356";"08"
"358";"09"
"360";"17--18"
"361";"08"
"362";"05"
"363";"08"
"364";"03"
