"id_net_sogg";"reg_code"
"1";"08"
"2";"06"
"3";"12"
"4";"12"
"6";"09"
"7";"07"
"8";"09"
"9";"19"
"10";"12"
"11";"09"
"12";"05"
"13";"07"
"14";"13"
"16";"12"
"17";"16"
"18";"08--12--19"
"19";"07"
"20";"08"
"21";"01"
"22";"16"
"23";"18"
"24";"09"
"25";"10"
"26";"03"
"27";"16"
"29";"16"
"30";"09"
"31";"19"
"32";"16"
"33";"09"
"34";"03"
"35";"16"
"36";"15"
"38";"03--16"
"39";"05"
"40";"18"
"41";"01"
"43";"01"
"44";"15"
"45";"12"
"46";"16"
"47";"16"
"48";"16"
"49";"10"
"50";"03"
"51";"15"
"53";"03"
"54";"03--07--12"
"55";"01--03"
"56";"07"
"57";"15"
"58";"12"
"59";"13"
"60";"12--15"
"61";"03"
"62";"19"
"63";"15"
"65";"10"
"66";"12"
"67";"09"
"68";"13"
"69";"07"
"70";"03"
"71";"08--16"
"72";"16"
"73";"07"
"74";"03"
"75";"15--18"
"76";"13"
"77";"15"
"78";"05"
"79";"06"
"80";"03"
"81";"08"
"82";"12"
"83";"05"
"84";"09"
"85";"16"
"86";"01--05--12"
"87";"16"
"88";"16"
"89";"12"
"90";"07"
"91";"15"
"92";"03"
"93";"04"
"94";"03--12"
"95";"16"
"96";"12"
"97";"12"
"98";"04"
"99";"12"
"100";"03--10--12--15--19"
"101";"03"
"102";"03"
"103";"12"
"104";"10"
"105";"09"
"106";"03"
"107";"03"
"108";"03"
"109";"07"
"110";"03"
"111";"09"
"112";"07"
"113";"03--05--06--15--18--19"
"114";"20"
"115";"07"
"116";"15"
"117";"11"
"118";"19"
"119";"15"
"120";"03--08--12"
"121";"18"
"122";"16"
"123";"13"
"124";"05"
"125";"16"
"126";"11"
"127";"05"
"128";"20"
"129";"15"
"130";"07"
"131";"03"
"133";"12"
"134";"16"
"135";"16"
"136";"19"
"137";"03"
"138";"03"
"139";"10"
"140";"16"
"142";"16"
"143";"16"
"144";"07"
"145";"01"
"146";"07"
"148";"08"
"149";"09"
"150";"07"
"151";"07"
"152";"15"
"153";"05"
"154";"03--04"
"155";"13"
"156";"09--19"
"157";"12"
"158";"16"
"159";"05"
"160";"05"
"161";"08"
"162";"15"
"163";"12"
"164";"09"
"165";"15"
"166";"03"
"167";"15"
"168";"08"
"169";"09"
"170";"08"
"171";"03"
"172";"07"
"173";"16"
"174";"03"
"175";"03"
"176";"09"
"177";"16"
"178";"13"
"179";"09"
"180";"03"
"181";"07"
"182";"05"
"183";"16"
"184";"15"
"185";"01"
"186";"16"
"187";"05"
"188";"07"
"189";"17--18"
"190";"03"
"191";"03"
"192";"07"
"193";"05"
"194";"09"
"195";"08"
"196";"03"
"197";"07--16"
"198";"04"
"199";"04"
"200";"09"
"201";"04"
"202";"10"
"203";"03--15"
"204";"03"
"205";"05--18"
"207";"12"
"208";"19"
"209";"07"
"210";"09"
"211";"01"
"212";"09"
"213";"03"
"214";"18"
"215";"03"
"216";"09"
"217";"02"
"218";"07"
"219";"15"
"220";"01"
"221";"04"
"222";"16"
"223";"09"
"224";"19"
"225";"01"
"226";"09"
"227";"18"
"228";"18"
"229";"03--07"
"230";"01"
"231";"19"
"232";"08"
"233";"15"
"235";"09"
"236";"09"
"237";"03--10--12"
"238";"05"
"239";"19"
"240";"20"
"241";"12"
"242";"13"
"243";"01"
"244";"20"
"245";"15"
"246";"16"
"247";"03"
"248";"09"
"249";"18"
"250";"16"
"251";"05"
"252";"09"
"253";"13--15"
"254";"06"
"255";"09--19"
"256";"08"
"257";"03--05"
"258";"04"
"259";"16"
"260";"07"
"261";"12"
"262";"06"
"263";"19"
"264";"01"
"265";"03"
"266";"08"
"267";"15"
"268";"01"
"269";"03"
"270";"16"
"271";"03"
"272";"05"
"273";"03"
"274";"15"
"275";"08"
"276";"07"
"277";"05"
"278";"03"
"279";"19"
"280";"19"
"281";"07"
"282";"19"
"283";"19"
"284";"19"
"285";"19"
"286";"01"
"287";"15"
"288";"12"
"289";"03"
"290";"08"
"291";"09"
"292";"05"
"293";"05--12"
"294";"15"
"295";"11"
"296";"19"
"297";"04"
"298";"07"
"299";"05"
"300";"06"
"301";"19"
"302";"16--17"
"303";"15"
"304";"19"
"305";"13"
"306";"08"
"307";"09"
"308";"10"
"309";"03"
"310";"16"
"311";"12"
"312";"09"
"313";"12--15"
"314";"09"
"315";"16"
"316";"08"
"317";"20"
"318";"20"
"319";"07"
"320";"18"
"321";"16"
"323";"16"
"324";"15"
"325";"12"
"326";"12"
"327";"07"
"328";"18"
"329";"16"
"330";"16"
"331";"12"
"332";"01"
"333";"12"
"334";"12"
"335";"13"
"336";"12"
"337";"15"
"338";"12"
"339";"12"
"340";"12"
"341";"16"
"342";"18"
"343";"12"
"344";"18"
"345";"12"
"346";"12"
"347";"12"
"348";"12"
"349";"12"
"350";"12"
"351";"12"
"352";"12"
"353";"12"
"354";"12"
"355";"12"
"356";"15"
"357";"12"
"358";"15"
"359";"12"
"360";"12"
"361";"12"
"362";"05"
"363";"12"
"364";"12"
"365";"12"
"366";"12"
"367";"12"
"368";"15"
"369";"12"
"370";"12"
"371";"12"
"372";"15"
"373";"12"
"374";"12"
"375";"19"
"376";"12"
"377";"12"
"378";"07"
"379";"12"
"380";"12"
"381";"12"
"382";"12"
"383";"12"
"384";"12"
"386";"12"
"387";"15"
"388";"12"
"389";"13"
"390";"12"
"391";"12"
"392";"16"
"393";"16"
"394";"12"
"395";"15"
"396";"12"
"397";"12"
"398";"16"
"399";"01"
"400";"15"
"401";"12"
"402";"12"
"403";"12"
"404";"01"
"405";"09"
"406";"12"
"407";"12"
"408";"12"
"409";"10"
"410";"12"
"411";"12"
"412";"12"
"413";"12"
"414";"10"
"415";"12"
"416";"12"
"417";"12"
"418";"12"
"419";"12"
"420";"12"
"421";"12"
"422";"03"
"423";"20"
"424";"12"
"425";"03--07"
"426";"03"
"427";"12"
"428";"12"
"429";"12"
"430";"09"
"431";"16"
"432";"19"
"433";"12"
"434";"12"
"435";"12"
"436";"16"
"437";"03"
"438";"12"
"439";"12"
"440";"12"
"441";"12"
"442";"12"
"443";"12"
"444";"12"
"445";"12"
"446";"12"
"447";"12"
"448";"10"
"449";"12"
"450";"05"
"451";"12"
"453";"10"
"454";"12"
"455";"10"
"456";"16"
"457";"08"
"458";"12"
"459";"19"
"460";"07"
"461";"10"
"462";"10"
"463";"10"
"464";"10"
"465";"10"
"466";"13"
"467";"07"
"468";"16"
"469";"10"
"470";"10"
"471";"15"
"472";"12"
"473";"08"
"474";"10"
"475";"03"
"476";"12"
"477";"12"
"478";"10"
"479";"15"
"480";"03"
"481";"13"
"482";"10"
"483";"12"
"484";"07"
"485";"15"
"486";"03"
"487";"12"
"488";"12"
"489";"05"
"491";"01"
"492";"16"
"493";"16"
"494";"16"
"495";"16"
"496";"16"
"497";"12"
"498";"16"
"499";"16"
"500";"16"
"501";"05--09--15"
"502";"16"
"503";"16"
"504";"05"
"505";"12"
"506";"15"
"507";"09"
"508";"12"
"509";"20"
"510";"14"
"511";"05"
"512";"16"
"513";"12--15"
"514";"18"
"515";"14"
"517";"10"
"518";"12"
"519";"15"
"520";"03"
"521";"04"
"522";"20"
"523";"08"
"524";"01--03"
"525";"09"
"526";"03"
"527";"16"
"528";"12"
"529";"12"
"530";"07"
"531";"03--12--20"
"532";"03"
"533";"12"
"534";"03"
"535";"01"
"536";"12"
"537";"16"
"538";"09"
"539";"15"
"540";"03"
"541";"09"
"542";"07"
"543";"12"
"544";"07"
"545";"12"
"546";"15"
"547";"05"
"548";"09"
"549";"18"
"550";"08"
"551";"12"
"552";"12"
"553";"09"
"554";"19"
"555";"18"
"556";"01"
"557";"03"
"558";"15"
"559";"05"
"560";"03"
"561";"10"
"562";"01"
"563";"04"
"564";"09"
"565";"07"
"566";"01"
"567";"05"
"568";"09"
"569";"05"
"570";"05"
"571";"12"
"572";"08"
"573";"09"
"574";"01"
"575";"19"
"576";"05"
"577";"10"
"578";"12"
"579";"12--15"
"580";"08"
"581";"09"
"582";"05"
"583";"16"
"584";"03"
"585";"15"
"586";"12"
"587";"09"
"588";"07"
"589";"10--12"
"590";"07"
"591";"03"
"592";"05"
"593";"15"
"594";"18"
"595";"15"
"596";"15"
"597";"01"
"598";"04"
"599";"03--08--13"
"600";"12"
"601";"08"
"602";"12"
"603";"01"
"604";"04"
"605";"19"
"606";"11"
"607";"09"
"608";"12"
"609";"18--19"
"610";"12"
"611";"12"
"612";"06"
"613";"16"
"614";"19"
"615";"01"
"616";"05"
"617";"08"
"618";"09"
"619";"07"
"620";"07"
"621";"19"
"622";"15"
"623";"09"
"624";"04"
"625";"11"
"626";"03"
"627";"06"
"628";"15"
"629";"09"
"630";"15"
"631";"16"
"632";"06"
"633";"11"
"634";"10"
"635";"05"
"636";"05"
"637";"03"
"638";"09"
"639";"05"
"640";"10"
"641";"16"
"642";"12"
"643";"01"
"644";"09"
"645";"12"
"646";"15"
"647";"13"
"648";"12"
"649";"12"
"650";"05"
"651";"12"
"652";"08"
"653";"19"
"654";"09"
"655";"04"
"656";"03"
"657";"12"
"658";"05"
"659";"12"
"660";"12"
"661";"16"
"662";"10"
"663";"10"
"664";"05"
"665";"11"
"666";"07"
"667";"12"
"668";"11"
"669";"08"
"670";"12"
"672";"16"
"673";"03"
"674";"01--02"
"675";"03"
"676";"09"
"677";"09"
"678";"09"
"679";"08"
"680";"05"
"681";"08"
"682";"15"
"683";"01"
"684";"12"
"685";"12"
"686";"06"
"687";"09"
"688";"06"
"689";"08--15"
"690";"09"
"691";"06"
"692";"19"
"693";"13"
"694";"06"
"695";"19"
"696";"12"
"697";"01"
"698";"08"
"699";"12"
"700";"03"
"701";"13"
"702";"13"
"703";"10"
"704";"09"
"705";"12"
"706";"09"
"707";"12"
"708";"09"
"709";"08--12"
"710";"01"
"711";"03--05--13"
"712";"10"
"713";"09"
"714";"12"
"715";"16"
"716";"12"
"717";"08"
"718";"09"
"719";"09"
"720";"12--19"
"721";"12"
"722";"07"
"723";"09"
"724";"12"
"725";"12"
"726";"03"
"727";"04--12"
"728";"05"
"729";"09"
"730";"03"
"731";"15"
"732";"13"
"733";"19"
"734";"09"
"735";"09"
"736";"13"
"737";"12"
"738";"03"
"739";"12"
"740";"18"
"741";"15"
"742";"16"
"743";"04"
"744";"12"
"745";"09"
"746";"12"
"747";"10"
"748";"09"
"749";"10"
"750";"03"
"751";"09"
"752";"03"
"753";"12"
"754";"20"
"755";"16"
"756";"13"
"757";"04"
"758";"10"
"759";"08"
"760";"09"
"761";"03--13"
"762";"10"
"763";"15"
"764";"12"
"765";"03"
"766";"01"
"767";"03--05"
"768";"03--18"
"769";"20"
"770";"12"
"771";"12"
"772";"09"
"773";"16"
"774";"04"
"775";"15"
"776";"03"
"777";"03"
"778";"16"
"779";"03--05--09"
"780";"03"
"781";"12"
"782";"12"
"783";"05"
"784";"16"
"785";"12"
"786";"03--15"
"787";"05"
"788";"10"
"789";"09"
"790";"15"
"791";"01"
"792";"15"
"793";"15"
"794";"04"
"795";"03"
