id_network;average_distance
1;78,66067503
2;48,38618963
3;0
4;122,7789314
5;0
6;68,26019788
7;10,71978517
8;693,8118249
9;194,4336899
10;752,8823905
11;0
12;12,34695886
13;59,54257954
14;0
15;509,442803
16;0
17;504,3301083
18;3,98084527
19;377,080455
20;0
21;183,7156954
22;26,3512565
23;24,62149348
24;0
25;24,14666857
26;31,36519733
27;35,54986697
28;18,57557696
29;0
30;
31;0
32;30,22606708
33;0
34;91,05314468
35;19,92580913
36;0
37;
38;39,35611641
39;13,7007605
40;26,17749375
41;0
42;
43;443,6223421
44;11,84762632
45;0
46;29,0394982
47;17,92328928
48;77,70100422
49;0
50;0
51;0
52;0
53;0
54;0
55;47,62045303
56;201,5149063
57;477,2760618
58;0
59;209,539132
60;46,2388243
61;210,938919
62;245,2034715
63;23,49773034
64;56,91976071
65;0
66;74,85477307
67;25,43307715
68;9,448892803
69;118,6867503
70;11,90831521
71;0
72;121,8666232
73;47,25672909
74;52,94482759
75;0
76;43,35314072
77;0
78;260,884669
79;0
80;31,01178408
81;19,11490584
82;36,07592709
83;0
84;0
85;87,01501846
86;24,64793564
87;8,401882459
88;20,84548054
89;13,50811926
90;219,9607899
91;374,8124373
92;18,67662553
93;24,05669521
94;14,2362756
95;0
96;110,448772
97;312,7195313
98;157,6409865
99;98,40601123
100;266,3619887
101;4,62319717
102;0
103;0
104;89,42973035
105;46,03937399
106;0
107;0
108;0
109;0
110;0
111;218,4852396
112;
113;25,54475397
114;37,35035994
115;30,35572938
116;0
117;80,90903404
118;
119;87,73357084
120;0
121;292,0243895
122;17,91397741
123;0
124;36,55666728
125;0
126;18,55115015
127;18,8370602
128;27,99550838
129;
130;
131;18,19222331
132;0
133;
134;0
135;139,5363545
136;17,30023468
137;31,93452936
138;32,43542842
139;54,16679385
140;0
141;7,056913487
142;17,56128852
143;0
144;47,21328565
145;34,7210885
146;11,65086444
147;0
148;
149;233,2157806
150;406,3427805
151;304,8205351
152;58,36626922
153;40,87019948
154;14,59555255
155;393,0915881
156;17,97323499
157;0
158;587,2570799
159;0
160;7,616408801
161;5,288180409
162;
163;57,84517958
164;
165;
166;
167;
168;
169;331,2477289
170;266,6115771
171;11,27785443
172;158,2247627
173;0
174;2,567630207
175;
176;23,34246936
177;0
178;
179;
180;43,95723257
181;
182;28,09049643
183;124,7584398
184;
185;
186;0
187;48,11063754
188;49,4520069
189;
190;77,94082846
191;0
192;100,3559694
193;
194;0
195;99,87428306
196;13,09816324
197;
198;106,681704
199;0
200;173,6719382
201;91,51654279
202;35,66945939
203;33,60981335
204;6,265626232
205;6,923586361
206;69,81620852
207;82,50006121
208;
209;
210;0
211;
212;34,74402319
213;
214;
215;0
216;351,060567
217;24,33763223
218;
219;
220;9,242459304
221;36,08266569
222;0
223;304,0546334
224;28,96410366
225;
226;0
227;
228;42,13492452
229;8,469012984
230;301,4727977
231;
232;93,79093342
233;33,59286478
234;15,27883865
235;
236;
237;
238;
239;
240;67,50076966
241;
242;
243;90,33046425
244;105,7274829
245;104,1468136
246;0
247;84,81394939
248;2,947592444
249;0
250;3,282043102
251;21,4696025
252;
253;0
254;0
255;2,680126725
256;16,38008729
257;
258;
259;0
260;0
261;196,8998228
262;102,0450683
263;428,0705106
264;7,509124079
265;
266;66,82104228
267;15,85053653
268;19,19124671
269;95,95847553
270;0
271;139,7672278
272;28,23217628
273;54,55139914
274;17,62949969
275;15,93022826
276;0
277;22,39941917
278;58,27329784
279;60,00649526
280;
281;39,41802478
282;51,45963329
283;19,68659508
284;19,18038858
285;0
286;0
287;
288;
289;18,10117367
290;59,93256272
291;158,0556212
292;0
293;
294;
295;37,59401349
296;
297;0
298;73,96686596
299;17,64807902
300;
301;224,7194994
302;21,96948457
303;61,6285464
304;43,42350012
305;12,23662172
306;
307;0
308;0
309;0
310;14,68521536
311;104,9721623
312;46,9833171
313;0
314;
315;0
316;47,73386427
317;59,71252207
318;80,69687334
319;16,98440494
320;24,85511414
321;
322;422,4029151
323;17,25516957
324;0
325;32,94707693
326;
327;192,1396481
328;51,33435195
329;24,15555548
330;44,70663106
331;16,42478962
332;
333;0
334;
335;17,53983843
336;17,53983843
337;0
338;26,78882301
339;109,2302598
340;11,06196872
341;
342;39,57826214
343;
344;29,42099747
345;595,9139178
346;
347;
348;0
349;82,69929822
350;
351;109,7246663
352;
353;510,2379392
354;
355;0
356;31,45382116
357;
358;171,1007582
359;
360;151,6577896
361;0
362;80,84207372
363;22,86819825
364;50,90386093
365;31,32709672
366;4,003513027
367;21,98764539
368;152,4848993
369;306,9050594
370;
371;0
372;
373;
374;
375;0,852859695
376;0
377;32,77924177
378;27,80904728
379;0
380;27,70741339
381;
382;0
383;0
384;8,710030252
385;57,28653278
386;14,4781236
387;0
388;8,710030252
389;0
390;47,91602936
391;
392;179,3021563
393;153,3363218
394;
395;44,35181641
396;
397;12,56504541
398;
399;53,71676598
400;0
401;156,2857618
402;16,50175365
403;36,70233184
404;
405;
406;278,7057017
407;149,1085393
408;16,10538482
409;21,02027106
410;22,32686562
411;0
412;0
413;
414;246,7200803
415;
416;0
417;61,97282064
418;0
419;15,94549586
420;147,1722122
421;0
422;69,16719047
423;306,4044427
424;
425;24,60970449
426;54,65669032
427;
428;13,76136449
429;121,063231
430;314,2927264
431;0
432;0
433;0
434;24,36436305
435;16,23826531
436;
437;27,31754292
438;
439;59,54178667
440;0
441;20,60276782
442;0
443;2,493520722
444;
445;146,0353295
446;0
447;
448;0
449;
450;32,589733
